/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 53495
Connected to : 127.0.0.1 : 53500
Connected to : 127.0.0.1 : 53508
Connected to : 127.0.0.1 : 53515
Connected to : 127.0.0.1 : 53521
Connected to : 127.0.0.1 : 53528
Connected to : 127.0.0.1 : 53535
Connected to : 127.0.0.1 : 53548
Connected to : 127.0.0.1 : 53555
Connected to : 127.0.0.1 : 53560
Connected to : 127.0.0.1 : 53565
Connected to : 127.0.0.1 : 53568
Connected to : 127.0.0.1 : 53574
Connected to : 127.0.0.1 : 53585
Connected to : 127.0.0.1 : 53599
Connected to : 127.0.0.1 : 53608
Connected to : 127.0.0.1 : 53616
Connected to : 127.0.0.1 : 53619
Connected to : 127.0.0.1 : 53624
Connected to : 127.0.0.1 : 53629
Connected to : 127.0.0.1 : 53637
Connected to : 127.0.0.1 : 53645
Connected to : 127.0.0.1 : 53652
Connected to : 127.0.0.1 : 53657
Connected to : 127.0.0.1 : 53662
Connected to : 127.0.0.1 : 53668
Connected to : 127.0.0.1 : 53679
Connected to : 127.0.0.1 : 53685
Connected to : 127.0.0.1 : 53690
Connected to : 127.0.0.1 : 53694
Connected to : 127.0.0.1 : 53700
Connected to : 127.0.0.1 : 53709
Connected to : 127.0.0.1 : 53721
Connected to : 127.0.0.1 : 53729
Connected to : 127.0.0.1 : 53736
Connected to : 127.0.0.1 : 53741
Connected to : 127.0.0.1 : 53745
Connected to : 127.0.0.1 : 53752
Connected to : 127.0.0.1 : 53762
Connected to : 127.0.0.1 : 53770
Connected to : 127.0.0.1 : 53780
Connected to : 127.0.0.1 : 53792
Connected to : 127.0.0.1 : 53798
Connected to : 127.0.0.1 : 53805
Connected to : 127.0.0.1 : 53826
Connected to : 127.0.0.1 : 53830
Connected to : 127.0.0.1 : 53835
Connected to : 127.0.0.1 : 53842
Connected to : 127.0.0.1 : 53847
Connected to : 127.0.0.1 : 53853
Connected to : 127.0.0.1 : 53862
Connected to : 127.0.0.1 : 53867
Connected to : 127.0.0.1 : 53873
Connected to : 127.0.0.1 : 53886
Connected to : 127.0.0.1 : 53892
Connected to : 127.0.0.1 : 53895
Connected to : 127.0.0.1 : 53898
Connected to : 127.0.0.1 : 53902
Connected to : 127.0.0.1 : 53915
Connected to : 127.0.0.1 : 53923
Connected to : 127.0.0.1 : 53930
Connected to : 127.0.0.1 : 53941
Connected to : 127.0.0.1 : 53947
Connected to : 127.0.0.1 : 53951
Connected to : 127.0.0.1 : 53958
Connected to : 127.0.0.1 : 53970
Connected to : 127.0.0.1 : 53984
Connected to : 127.0.0.1 : 53989
Connected to : 127.0.0.1 : 53993
Connected to : 127.0.0.1 : 54008
Connected to : 127.0.0.1 : 54016
Connected to : 127.0.0.1 : 54021
Connected to : 127.0.0.1 : 54026
Connected to : 127.0.0.1 : 54032
Connected to : 127.0.0.1 : 54041
Connected to : 127.0.0.1 : 54046
Connected to : 127.0.0.1 : 54049
Connected to : 127.0.0.1 : 54056
Connected to : 127.0.0.1 : 54079
Connected to : 127.0.0.1 : 54085
Connected to : 127.0.0.1 : 54088
Connected to : 127.0.0.1 : 54091
Connected to : 127.0.0.1 : 54095
Connected to : 127.0.0.1 : 54105
Connected to : 127.0.0.1 : 54116
Connected to : 127.0.0.1 : 54122
Connected to : 127.0.0.1 : 54128
Connected to : 127.0.0.1 : 54132
Connected to : 127.0.0.1 : 54138
Connected to : 127.0.0.1 : 54145
Connected to : 127.0.0.1 : 54153
Connected to : 127.0.0.1 : 54166
Connected to : 127.0.0.1 : 54172
Connected to : 127.0.0.1 : 54177
Connected to : 127.0.0.1 : 54181
Connected to : 127.0.0.1 : 54186
Connected to : 127.0.0.1 : 54200
Connected to : 127.0.0.1 : 54209
Connected to : 127.0.0.1 : 54215
Connected to : 127.0.0.1 : 54221
Connected to : 127.0.0.1 : 54235
Connected to : 127.0.0.1 : 54243
Connected to : 127.0.0.1 : 54252
Connected to : 127.0.0.1 : 54260
Connected to : 127.0.0.1 : 54263
Connected to : 127.0.0.1 : 54267
Connected to : 127.0.0.1 : 54272
Connected to : 127.0.0.1 : 54291
Connected to : 127.0.0.1 : 54297
Connected to : 127.0.0.1 : 54302
Connected to : 127.0.0.1 : 54308
Connected to : 127.0.0.1 : 54312
Connected to : 127.0.0.1 : 54318
Connected to : 127.0.0.1 : 54329
Connected to : 127.0.0.1 : 54341
Connected to : 127.0.0.1 : 54354
Connected to : 127.0.0.1 : 54359
Connected to : 127.0.0.1 : 54366
Connected to : 127.0.0.1 : 54390
Connected to : 127.0.0.1 : 54396
Connected to : 127.0.0.1 : 54401
Connected to : 127.0.0.1 : 54406
Connected to : 127.0.0.1 : 54413
Connected to : 127.0.0.1 : 54435
Connected to : 127.0.0.1 : 54440
Connected to : 127.0.0.1 : 54448
Connected to : 127.0.0.1 : 54462
Connected to : 127.0.0.1 : 54471
Connected to : 127.0.0.1 : 54481
Connected to : 127.0.0.1 : 54487
Connected to : 127.0.0.1 : 54494
Connected to : 127.0.0.1 : 54500
Connected to : 127.0.0.1 : 54506
Connected to : 127.0.0.1 : 54525
Connected to : 127.0.0.1 : 54544
Connected to : 127.0.0.1 : 54549
Connected to : 127.0.0.1 : 54557
Connected to : 127.0.0.1 : 54567
Connected to : 127.0.0.1 : 54593
Connected to : 127.0.0.1 : 54609
Connected to : 127.0.0.1 : 54615
Connected to : 127.0.0.1 : 54632
Connected to : 127.0.0.1 : 54641
Connected to : 127.0.0.1 : 54648
Connected to : 127.0.0.1 : 54668
Connected to : 127.0.0.1 : 54674
Connected to : 127.0.0.1 : 54689
Connected to : 127.0.0.1 : 54713
Connected to : 127.0.0.1 : 54729
Connected to : 127.0.0.1 : 54752
Connected to : 127.0.0.1 : 54765
Connected to : 127.0.0.1 : 54792
Connected to : 127.0.0.1 : 54813
Connected to : 127.0.0.1 : 54824
Connected to : 127.0.0.1 : 54830
Connected to : 127.0.0.1 : 54837
Connected to : 127.0.0.1 : 54848
Connected to : 127.0.0.1 : 54854
Connected to : 127.0.0.1 : 54861
Connected to : 127.0.0.1 : 54882
Connected to : 127.0.0.1 : 54888
Connected to : 127.0.0.1 : 54898
Connected to : 127.0.0.1 : 54913
Connected to : 127.0.0.1 : 54926
Connected to : 127.0.0.1 : 54937
Connected to : 127.0.0.1 : 54947
Connected to : 127.0.0.1 : 54954
Connected to : 127.0.0.1 : 54966
Connected to : 127.0.0.1 : 54974
Connected to : 127.0.0.1 : 54995
Connected to : 127.0.0.1 : 55002
Connected to : 127.0.0.1 : 55025
Connected to : 127.0.0.1 : 55035
Connected to : 127.0.0.1 : 55039
Connected to : 127.0.0.1 : 55046
Connected to : 127.0.0.1 : 55060
Connected to : 127.0.0.1 : 55084
Connected to : 127.0.0.1 : 55087
Connected to : 127.0.0.1 : 55090
Connected to : 127.0.0.1 : 55093
Connected to : 127.0.0.1 : 55096
Connected to : 127.0.0.1 : 55114
Connected to : 127.0.0.1 : 55117
Connected to : 127.0.0.1 : 55120
Connected to : 127.0.0.1 : 55123
Connected to : 127.0.0.1 : 55127
Connected to : 127.0.0.1 : 55142
Connected to : 127.0.0.1 : 55147
Connected to : 127.0.0.1 : 55150
Connected to : 127.0.0.1 : 55153
Connected to : 127.0.0.1 : 55156
Connected to : 127.0.0.1 : 55174
Connected to : 127.0.0.1 : 55177
Connected to : 127.0.0.1 : 55180
Connected to : 127.0.0.1 : 55183
Connected to : 127.0.0.1 : 55186
Connected to : 127.0.0.1 : 55204
Connected to : 127.0.0.1 : 55210
Connected to : 127.0.0.1 : 55213
Connected to : 127.0.0.1 : 55216
Connected to : 127.0.0.1 : 55220
Connected to : 127.0.0.1 : 55236
Connected to : 127.0.0.1 : 55241
Connected to : 127.0.0.1 : 55244
Connected to : 127.0.0.1 : 55247
Connected to : 127.0.0.1 : 55251
Connected to : 127.0.0.1 : 55263
Connected to : 127.0.0.1 : 55271
Connected to : 127.0.0.1 : 55274
Connected to : 127.0.0.1 : 55277
Connected to : 127.0.0.1 : 55281
Connected to : 127.0.0.1 : 55293
Connected to : 127.0.0.1 : 55303
Connected to : 127.0.0.1 : 55307
Connected to : 127.0.0.1 : 55313
Connected to : 127.0.0.1 : 55316
Connected to : 127.0.0.1 : 55322
Connected to : 127.0.0.1 : 55332
Connected to : 127.0.0.1 : 55341
Connected to : 127.0.0.1 : 55344
Connected to : 127.0.0.1 : 55348
Connected to : 127.0.0.1 : 55353
Connected to : 127.0.0.1 : 55364
Connected to : 127.0.0.1 : 55370
Connected to : 127.0.0.1 : 55375
Connected to : 127.0.0.1 : 55378
Connected to : 127.0.0.1 : 55386
Connected to : 127.0.0.1 : 55397
Connected to : 127.0.0.1 : 55402
Connected to : 127.0.0.1 : 55406
Connected to : 127.0.0.1 : 55409
Connected to : 127.0.0.1 : 55413
Connected to : 127.0.0.1 : 55424
Connected to : 127.0.0.1 : 55433
Connected to : 127.0.0.1 : 55438
Connected to : 127.0.0.1 : 55443
Connected to : 127.0.0.1 : 55446
Connected to : 127.0.0.1 : 55450
Connected to : 127.0.0.1 : 55464
Connected to : 127.0.0.1 : 55469
Connected to : 127.0.0.1 : 55476
Connected to : 127.0.0.1 : 55481
Connected to : 127.0.0.1 : 55484
Connected to : 127.0.0.1 : 55491
Connected to : 127.0.0.1 : 55503
Connected to : 127.0.0.1 : 55506
