Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 57690
Connected to : 127.0.0.1 : 57698
Connected to : 127.0.0.1 : 57706
Connected to : 127.0.0.1 : 57736
Connected to : 127.0.0.1 : 57740
Connected to : 127.0.0.1 : 57744
Connected to : 127.0.0.1 : 57760
Connected to : 127.0.0.1 : 57770
Connected to : 127.0.0.1 : 57790
Connected to : 127.0.0.1 : 57794
Connected to : 127.0.0.1 : 57812
Connected to : 127.0.0.1 : 57818
Connected to : 127.0.0.1 : 57826
Connected to : 127.0.0.1 : 57842
Connected to : 127.0.0.1 : 57852
Connected to : 127.0.0.1 : 57862
Connected to : 127.0.0.1 : 57870
Connected to : 127.0.0.1 : 57886
Connected to : 127.0.0.1 : 57896
Connected to : 127.0.0.1 : 57908
Connected to : 127.0.0.1 : 57938
Connected to : 127.0.0.1 : 57942
Connected to : 127.0.0.1 : 57946
Connected to : 127.0.0.1 : 57950
Connected to : 127.0.0.1 : 57966
Connected to : 127.0.0.1 : 57992
Connected to : 127.0.0.1 : 57996
Connected to : 127.0.0.1 : 58000
Connected to : 127.0.0.1 : 58010
Connected to : 127.0.0.1 : 58024
Connected to : 127.0.0.1 : 58038
Connected to : 127.0.0.1 : 58046
Connected to : 127.0.0.1 : 58056
Connected to : 127.0.0.1 : 58066
Connected to : 127.0.0.1 : 58076
Connected to : 127.0.0.1 : 58096
Connected to : 127.0.0.1 : 58114
Connected to : 127.0.0.1 : 58118
Connected to : 127.0.0.1 : 58122
Connected to : 127.0.0.1 : 58138
Connected to : 127.0.0.1 : 58150
Connected to : 127.0.0.1 : 58166
Connected to : 127.0.0.1 : 58182
Connected to : 127.0.0.1 : 58186
Connected to : 127.0.0.1 : 58198
Connected to : 127.0.0.1 : 58202
Connected to : 127.0.0.1 : 58216
Connected to : 127.0.0.1 : 58240
Connected to : 127.0.0.1 : 58244
Connected to : 127.0.0.1 : 58260
Connected to : 127.0.0.1 : 58268
Connected to : 127.0.0.1 : 58288
Connected to : 127.0.0.1 : 58292
Connected to : 127.0.0.1 : 58296
Connected to : 127.0.0.1 : 58312
Connected to : 127.0.0.1 : 58326
Connected to : 127.0.0.1 : 58336
Connected to : 127.0.0.1 : 58350
Connected to : 127.0.0.1 : 58354
Connected to : 127.0.0.1 : 58388
Connected to : 127.0.0.1 : 58392
Connected to : 127.0.0.1 : 58396
Connected to : 127.0.0.1 : 58400
Connected to : 127.0.0.1 : 58418
Connected to : 127.0.0.1 : 58448
Connected to : 127.0.0.1 : 58452
Connected to : 127.0.0.1 : 58456
Connected to : 127.0.0.1 : 58460
Connected to : 127.0.0.1 : 58484
Connected to : 127.0.0.1 : 58502
Connected to : 127.0.0.1 : 58510
Connected to : 127.0.0.1 : 58514
Connected to : 127.0.0.1 : 58518
Connected to : 127.0.0.1 : 58540
Connected to : 127.0.0.1 : 58556
Connected to : 127.0.0.1 : 58560
Connected to : 127.0.0.1 : 58568
Connected to : 127.0.0.1 : 58580
Connected to : 127.0.0.1 : 58594
Connected to : 127.0.0.1 : 58610
Connected to : 127.0.0.1 : 58622
Connected to : 127.0.0.1 : 58640
Connected to : 127.0.0.1 : 58644
Connected to : 127.0.0.1 : 58662
Connected to : 127.0.0.1 : 58670
Connected to : 127.0.0.1 : 58678
Connected to : 127.0.0.1 : 58700
Connected to : 127.0.0.1 : 58704
Connected to : 127.0.0.1 : 58720
Connected to : 127.0.0.1 : 58736
Connected to : 127.0.0.1 : 58756
Connected to : 127.0.0.1 : 58760
Connected to : 127.0.0.1 : 58764
Connected to : 127.0.0.1 : 58780
Connected to : 127.0.0.1 : 58808
Connected to : 127.0.0.1 : 58814
Connected to : 127.0.0.1 : 58818
Connected to : 127.0.0.1 : 58822
Connected to : 127.0.0.1 : 58838
Connected to : 127.0.0.1 : 58864
Connected to : 127.0.0.1 : 58870
Connected to : 127.0.0.1 : 58874
Connected to : 127.0.0.1 : 58878
Connected to : 127.0.0.1 : 58896
Connected to : 127.0.0.1 : 58926
Connected to : 127.0.0.1 : 58930
Connected to : 127.0.0.1 : 58934
Connected to : 127.0.0.1 : 58938
Connected to : 127.0.0.1 : 58964
Connected to : 127.0.0.1 : 58974
Connected to : 127.0.0.1 : 58986
